albums_id,album_name,album_popularity,album_release_date,album_picture_url
7xV2TzoaVc0ycW7fwBwAml,Fine Line, 90,2019-12-13,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Future Nostalgia, 93,2020-03-27,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Love Me Wrong, 52,2019-12-06,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Watermelon Sugar, 75,2019-11-17,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Motivation, 70,2019-08-16,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Cuz I Love You, 76,2019-04-19,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Origins (Deluxe), 83,2018-11-09,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Stupid Love, 80,2020-02-28,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,After Hours, 97,2020-03-20,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Clima Quente, 53,2020-03-01,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,111 1, 66,2019-10-31,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,111, 70,2020-03-24,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7fJJK56U9fHixgO0HQkhtI,Tímida, 60,2020-03-19,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Flash Pose, 51,2019-07-26,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Parabéns, 61,2019-10-17,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,I’m Ready (with Demi Lovato), 76,2020-04-16,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Don't Start Now, 87,2019-10-31,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Ultimate Karaoke Kids Hits, 1,2010-09-01,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
5Qd3rWZavleUmV0pwBUjNF,Fijación Oral Vol. 1, 69,2005-06-03,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Diciembre, 51,2019-12-20,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Get Weird (Deluxe), 77,2015-11-06,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,El Mal Querer, 70,2018-11-02,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Mind Of Mine (Deluxe Edition), 74,2016-03-25,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Bloom, 74,2018-08-31,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,There for You, 64,2017-05-26,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
659e2eKbsMH0vYCs5qgFmy,Take Yourself Home, 69,2020-04-01,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Sigues Con El (Remix), 72,2020-04-10,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Colores, 91,2020-03-19,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
7xV2TzoaVc0ycW7fwBwAml,Follow, 74,2020-04-01,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
