song_id,song_name,song_popularity,song_danceability,song_energy,song_liveness,song_duration_ms,song_picture_url
1ZMiCix7XSAbfAJlEZWMCp,Falling, 88,0.567,0.267,0.089,240133,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
2IOFZdYYkFxEHVz1w34PoL,Cherry, 79,0.53,0.512,0.129,259187,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
6zrJLhslleCHby0wbUnvVy,Future Nostalgia, 81,0.875,0.813,0.321,184882,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
0vQcyuMEfRBd21ojZ62N2L,Boys Will Be Boys, 79,0.766,0.485,0.102,166266,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
6uAFJ75WDAoAPyCWJAtvks,Good In Bed, 81,0.727,0.701,0.168,218754,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
017PF4Q3l4DBUiWoXk4OWT,Break My Heart, 90,0.73,0.729,0.349,221820,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
4rPkN1FMzQyFNP9cLUGIIB,Love Again, 82,0.66,0.668,0.1,258004,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
1nYeVF5vIBxMxfPoL0SIWg,Hallucinate, 83,0.627,0.69,0.0742,208505,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
6DXZiYUbrYgrVIhfX3U9Z2,Pretty Please, 82,0.906,0.474,0.286,194607,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
39LLxExYz6ewLAcYrzQQyP,Levitating, 84,0.695,0.883,0.213,203808,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
3AzjcOeAmA57TIOr9zF1ZW,Physical, 89,0.647,0.844,0.102,193829,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
2nMOodYNHBAQ3Kc1QNimZU,Cool, 82,0.469,0.785,0.0931,209583,https://i.scdn.co/image/ab67616d0000b273c966c2f4e08aee0442b6b8d6
5JiH89mHrv9oWHlD0T326z,To Be So Lonely, 79,0.758,0.436,0.335,192080,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
4jAIqgrPjKLTY9Gbez25Qb,Lights Up, 86,0.575,0.621,0.141,172213,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
3jjujdWJ72nww5eGnfs2E7,Adore You, 88,0.676,0.771,0.102,207133,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
59uEiooaCUECb1fMmo6Sr9,Love Me Wrong, 62,0.46,0.458,0.0925,192907,https://i.scdn.co/image/ab67616d0000b273c77b814262761764aba4a45b
6SQLk9HSNketfgs2AyIiMs,She, 76,0.535,0.521,0.19,362653,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar, 84,0.548,0.816,0.335,174000,https://i.scdn.co/image/ab67616d0000b2737cf2b9825bb43083d123ac22
45S5WTQEGOB1VHr1Q4FuPl,Golden, 80,0.448,0.838,0.131,208907,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
